Bedrooms,Bathrooms,Address,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,2018_Census_Population,NZDep2018
5,3.0,"106 Lawrence Crescent Hill Park, Auckland",71.0,960000,-37.0129205,174.90406940000003,7009770,48,27,24,21,24,21,Manurewa,174,6.0
5,3.0,"8 Corsica Way Karaka, Auckland",56.0,1250000,-37.0636724,174.9229121,7009991,42,18,12,21,15,30,Karaka,129,1.0
6,4.0,"243 Harbourside Drive Karaka, Auckland",62.0,1250000,-37.06357970000001,174.9240444,7009991,42,18,12,21,15,30,Karaka,129,1.0
2,1.0,"2/30 Hardington Street Onehunga, Auckland",6.0,740000,-36.9129964,174.78742490000005,7007871,42,6,21,21,12,15,Onehunga,120,2.0
3,1.0,"59 Israel Avenue Clover Park, Auckland",60.0,630000,-36.979036900000004,174.8926119,7008902,93,27,33,30,21,33,Clover Park,231,9.0
3,1.0,"14 Tainui Terrace Mangere Bridge, Auckland",10.0,1050000,-36.943928899999996,174.78050149999999,7007917,63,15,24,33,30,39,Mangere Bridge,195,4.0
3,1.0,"54 Kelmarna Avenue Ponsonby, Auckland",53.0,2525000,-36.849238899999996,174.73445130000005,7004908,33,12,18,12,15,9,Ponsonby,102,4.0
3,2.0,"39 Rawhiti Road One Tree Hill, Auckland",102.0,1400000,-36.9077,174.7960425,7005903,36,33,39,21,12,24,One Tree Hill,162,4.0
3,2.0,"17b Tawa Crescent Manurewa, Auckland",8.0,475000,-37.033322399999996,174.89811310000005,7009808,45,27,15,12,12,12,Manurewa,126,10.0
4,2.0,"39a Keegan Drive Massey, Auckland",20.0,660000,-36.8462083,174.62079440000005,7003826,30,27,36,15,24,12,Massey,141,6.0
4,2.0,"39c Keegan Drive Massey, Auckland",17.0,900000,-36.8462083,174.62079440000005,7003826,30,27,36,15,24,12,Massey,141,6.0
4,2.0,"39b Keegan Drive Massey, Auckland",17.0,660000,-36.8462083,174.62079440000005,7003826,30,27,36,15,24,12,Massey,141,6.0
3,1.0,"9 Menear Lane Hillcrest, Auckland",63.0,920000,-36.7925353,174.7272634,7002805,42,33,36,30,24,24,Hillcrest,189,2.0
3,1.0,"10 Fairlight Place Manurewa, Auckland",64.0,570000,-37.0251198,174.87963100000005,7009565,69,33,24,21,15,9,Manurewa,171,10.0
4,2.0,"11 Arran Drive Millwater, Auckland",65.0,1150000,-36.9040755,174.69425690000003,7004424,54,45,33,18,18,6,Avondale,174,9.0
3,1.0,"53a Kimber Hall Avenue Mount Roskill, Auckland",13.0,1200000,-36.9184475,174.7177085,7007562,51,36,30,18,18,36,Mount Roskill,183,9.0
2,1.0,"1/77 Kimber Hall Avenue Mount Roskill, Auckland",7.0,640000,-36.9185162,174.7192568,7007562,51,36,30,18,18,36,Mount Roskill,183,9.0
5,3.0,"42 Johns Creek Crescent Silverdale, Auckland",72.0,640000,-36.621938899999996,174.6639437,7001422,51,54,66,24,9,12,Silverdale,219,2.0
5,3.0,"4 Ahorangi Road Silverdale, Auckland",42.0,1180000,-36.6233277,174.66401430000005,7001422,51,54,66,24,9,12,Silverdale,219,2.0
5,3.0,"32 Johns Creek Crescent Silverdale, Auckland",52.0,590000,-36.621938899999996,174.6639437,7001422,51,54,66,24,9,12,Silverdale,219,2.0
3,1.0,"577 Mt Albert Road Royal Oak, Auckland",138.0,2080000,-36.910598,174.7633054,7007751,27,36,24,18,12,9,Royal Oak,135,7.0
